id,category,type,tp,fp,fn,precision,recall,f1,exact_match,n_ground_truth,n_pred,prompt,timestamp,latency_s,prompt_tokens,completion_tokens,total_tokens,source,error_notes
1,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Tampilkan jadwal Pak Sopian,2025-05-27T19:55:55.803473,3.071,2974,370,3344,txt_source,
2,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Di ruang mana seminar Wildan dilaksanakan,2025-05-27T19:56:03.194613,1.931,2975,207,3182,txt_source,
3,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pukul berapa seminar Faishal dimulai,2025-05-27T19:56:09.888200,2.155,2976,194,3170,txt_source,
4,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Guntur Maulana Ibrahim,2025-05-27T19:56:19.804082,5.015,2976,204,3180,txt_source,
5,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Ferdi Bayu Febryan,2025-05-27T19:56:27.500219,1.836,2979,192,3171,txt_source,
6,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa seminar Tri Novarel Rahmadhani,2025-05-27T19:56:33.338730,1.952,2978,193,3171,txt_source,
7,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa seminar Muhammad Iman Komarudiansyah berakhir,2025-05-27T19:56:41.940990,3.172,2979,200,3179,txt_source,
8,K-1,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Tampilkan jadwal Bu Rani,2025-05-27T19:56:52.068739,3.905,2973,555,3528,txt_source,
9,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa seminar Ekayan Arsyad dimulai,2025-05-27T19:57:01.244549,3.8,2978,214,3192,txt_source,
10,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa seminar akan dilaksanakan Ivan Aprilman Hura,2025-05-27T19:57:08.533566,1.705,2978,207,3185,txt_source,
11,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan seminar dari Muhammad Cahaya Adiransyah Tasman dimulai,2025-05-27T19:57:15.097401,1.963,2982,197,3179,txt_source,
12,K-1,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa Dosen yang ada diseminar Weldira Tarigan,2025-05-27T19:57:21.962600,2.005,2738,60,2798,txt_source,
13,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Elbaruna,2025-05-27T19:57:29.633504,1.938,2975,209,3184,txt_source,
14,K-1,schedule_rows,0,0,1,0.0,0.0,0.0,0,1,0,Sebutkan ruangan tempat seminarnya Riswan,2025-05-27T19:57:43.838335,0,0,0,0,txt_source,
